Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
;bigram;bigram_runtime;cfld;cfld_runtime;absolute_emd;absolute_emd_runtime;absolute_wass;absolute_wass_runtime;case_arrival_emd;case_arrival_emd_runtime;case_arrival_wass;case_arrival_wass_runtime;circadian_emd;circadian_emd_runtime;circadian_wass;circadian_wass_runtime;relative_emd;relative_emd_runtime;relative_wass;relative_wass_runtime;cycle_time_wass;cycle_time_wass_runtime
mean;0.1791522353819146;0.6205459117889405;0.15158460955571504;3.7244741916656494;100.12091722595079;7.080680274963379;157.04000513342163;0.01511349678039545;122.91507537688442;1.6633885860443116;122.91507537688442;0.08933994770050044;2.754797830205681;0.2701237916946411;3.2872936706915374;0.0318283081054687;21.243763982102912;2.8615122556686403;38.29660336303341;0.20255916118621822;39.76331658291457;0.18480267524719235
conf;0.005325823600166524;0.016182491785309037;0.006687922938060442;0.05613187875610293;25.198544537844786;0.2539258746638445;37.80305947890871;0.0008546632416871642;28.949014622426986;0.06186469136511636;28.94901462242699;0.0037553945837379148;0.06501411055023365;0.017192221317043184;0.0930897718388884;0.0062989199706157805;1.936439078580651;0.1059569874218942;2.112325420465511;0.004595122889502082;3.0022034697060738;0.004297761372578445
