name,bigram,bigram_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime,cfld,cfld_runtime
simulated\BPIC_2012_ServiceMiner_1.csv,0.135585783,26.47157907,19.13975657,135.8634303,56.27731252,1.002206087,138.0194892,24.53583503,138.0194892,3.43739295,31.35316921,0.401396036,2.308237615,0.049000978,43.73322383,26.27757621,150.7999216,5.720788956,124.0100806,5.174349785,0.156203511,23.17417407
simulated\BPIC_2012_ServiceMiner_6.csv,0.125361152,23.67379618,58.26314089,147.16732,136.4416142,1.136451721,240.8293011,26.282125,240.8293011,3.586209059,29.14413654,0.486137152,2.272863506,0.051325321,48.9461439,26.53566718,150.3097913,5.585496664,123.8138441,5.146858931,0.149398321,23.05232072
simulated\BPIC_2012_ServiceMiner_3.csv,0.134625244,23.39222503,28.97713809,134.4713659,83.79920181,0.974319935,140.3921371,24.01191092,140.3921371,3.471962214,27.13033071,0.381788254,2.358221789,0.051874161,47.79203468,28.18793488,150.7991296,5.879486084,124.3057796,5.279607773,0.157154728,23.29798985
simulated\BPIC_2012_ServiceMiner_9.csv,0.131183791,23.78112411,32.5799763,134.8134871,83.39906598,0.975115061,155.5551075,24.61339474,155.5551075,3.647717714,28.21896729,0.396733046,2.257726915,0.049765825,46.2596941,26.85317707,151.1929139,5.731529951,124.0917339,5.143635273,0.147308265,23.12995815
simulated\BPIC_2012_ServiceMiner_7.csv,0.127262501,23.29852605,31.06990521,135.438149,79.835283,0.968329191,154.2846102,25.85963702,154.2846102,3.431421995,29.88906263,0.444013119,2.385012573,0.051234961,48.4432626,26.47395921,149.565136,5.554807901,123.8249328,5.112007856,0.15383177,22.48960304
simulated\BPIC_2012_ServiceMiner_0.csv,0.140291575,24.24751973,17.34688712,117.2826262,63.19382711,0.950688124,109.5235215,22.48498607,109.5235215,3.529330015,25.82231329,0.397608042,2.369181448,0.049115896,43.71502047,26.61085701,150.6203321,5.749049902,124.3726478,5.152354956,0.163488985,22.53294802
simulated\BPIC_2012_ServiceMiner_5.csv,0.130128896,23.88822603,31.30194421,135.7288029,77.38563932,0.960631847,157.3420699,25.56054711,157.3420699,3.42041111,28.96479595,0.364293814,2.350235441,0.049180031,46.32924925,26.09949803,150.2187509,5.655056953,123.9129704,5.138793945,0.154963633,22.64234185
simulated\BPIC_2012_ServiceMiner_2.csv,0.13757679,28.4308238,28.67815597,132.8930151,80.88485156,0.954772234,162.5789651,25.87441993,162.5789651,3.445307255,29.48033509,0.371334076,2.356300061,0.049736261,44.69070444,25.51037502,152.1443379,5.592270136,124.1891801,5.117353916,0.156017452,23.40825701
simulated\BPIC_2012_ServiceMiner_8.csv,0.146998361,23.37276292,25.85367299,120.704808,71.7119221,0.942826033,146.0137769,23.64635921,146.0137769,3.593895912,26.05369888,0.385980845,2.395843847,0.050046921,39.98352003,26.24741292,152.0312062,5.63804698,125.4243952,5.360404968,0.167236439,23.05579233
simulated\BPIC_2012_ServiceMiner_4.csv,0.123520237,23.33529496,18.98750539,123.3986099,58.99700796,0.967665196,127.9818548,22.23860884,127.9818548,3.516066074,29.17095435,0.392760038,2.387322103,0.049761057,49.22482227,25.692137,150.6490758,5.56062007,124.1710349,5.142790794,0.150080081,22.54393411
