,bigram,bigram_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime,cfld,cfld_runtime
mean,0.1340420585,3.5893260478,298.17035895000004,60.544198539000014,315.88113910000004,0.1432866336,327.85276381,12.338188887000001,327.85276381,0.4958984375,1.6341126366,0.4131811618,2.503610738,0.033599639,70.48712843400001,3.5821781398,74.49616393799998,0.8446368694,99.87889446900002,0.7504184009999999,0.1755794774,5.983085560899999
conf,0.006120711045510806,0.3216121712354198,105.8711861707074,4.804082621299024,115.59840378426426,0.04375889396441863,118.33317521346564,0.8283810748116678,118.33317521346564,0.017566065227877667,0.1854707872934084,0.030740775424313013,0.26871396207108916,0.0018313873641638114,4.075055069853934,0.23276620667150402,0.18248574088423716,0.11632004518025894,0.3011929344087765,0.05089544131239502,0.006133801542863599,0.1654077588737607
