name,bigram,bigram_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime
simulated-logs/CallCenter_ServiceMiner\CallCenter_ServiceMiner_0.csv.gz,0.010163949071773008,447.7059814929962,176.57626686895574,8.115521907806396,178.05557805661843,5.840713739395142,178.88345234946664,62.33177089691162,178.88376520021353,59.88255453109741,0.31723537798491447,0.45700502395629883,0.5234289816520076,0.3999955654144287,0.00604510657207558,136.4963035583496,0.00035797864639963706,136.74482345581055,11.783328739428,141.94216585159302
simulated-logs/CallCenter_ServiceMiner\CallCenter_ServiceMiner_1.csv.gz,0.010052956207407912,475.61852860450745,176.25704551728472,7.363920211791992,177.93595092043012,6.514473915100098,178.7701397912522,64.20927453041077,178.7704530763299,63.026039123535156,0.34290129473402414,0.44010090827941895,0.4705180896248769,0.40410280227661133,0.006846332874741621,144.71118879318237,0.00038803166952927626,146.06892490386963,11.812413958984655,147.6412546634674
simulated-logs/CallCenter_ServiceMiner\CallCenter_ServiceMiner_2.csv.gz,0.01028807167767728,472.414080619812,176.96380679000015,9.101505756378174,178.22083297383327,6.6437668800354,179.2189820191729,64.20295810699463,179.2192935838234,61.57739973068237,0.32974408423380824,0.43900156021118164,0.4643598421715966,0.3880023956298828,0.005145129688688794,138.46708416938782,0.000316756640472593,138.86625361442566,11.69932464874724,143.46041059494019
simulated-logs/CallCenter_ServiceMiner\CallCenter_ServiceMiner_3.csv.gz,0.008748330985136908,453.3239142894745,177.14935464251167,8.053832054138184,178.25967226598837,6.701776027679443,179.29166810405957,64.51048874855042,179.29198322313496,62.180354595184326,0.3310401919970257,0.4361419677734375,0.5248049984513312,0.39952921867370605,0.004562725695574403,139.8102753162384,0.00029937226705689657,140.47136974334717,11.774619221579524,143.30688190460205
simulated-logs/CallCenter_ServiceMiner\CallCenter_ServiceMiner_4.csv.gz,0.008987338632232094,453.6649465560913,177.56083147988966,7.033329248428345,178.6887446119987,7.484212636947632,179.5699742035885,64.55326700210571,179.5702882559075,62.83455538749695,0.3369710414936799,0.4466431140899658,0.5366601657858027,0.38899803161621094,0.004643521625255012,139.3050456047058,0.00031975231326120124,140.94481539726257,11.79235718130816,143.21406865119934
simulated-logs/CallCenter_ServiceMiner\CallCenter_ServiceMiner_5.csv.gz,0.008756351472974792,454.51549005508423,177.38042875706685,9.147425889968872,178.44604101080483,7.305896520614624,179.28240746064418,65.241126537323,179.28271878218288,62.72080683708191,0.35544155414085293,0.45011162757873535,0.5526292925942462,0.39499807357788086,0.004320337906532575,140.13424801826477,0.000231683255843107,138.98565554618835,11.830654181303034,144.21161913871765
simulated-logs/CallCenter_ServiceMiner\CallCenter_ServiceMiner_6.csv.gz,0.009533761624766228,456.21140909194946,176.4995948981859,8.690802097320557,177.86783153846557,6.829314947128296,178.79983441233628,64.6889500617981,178.80014758359346,63.798702001571655,0.31793582255749564,0.46724915504455566,0.4730550315001064,0.397672176361084,0.005577163479342052,141.272780418396,0.0003136455559465956,139.99858570098877,11.837911357806426,145.69624876976013
simulated-logs/CallCenter_ServiceMiner\CallCenter_ServiceMiner_7.csv.gz,0.009742840348873238,467.333114862442,176.48021734105083,8.159674644470215,177.96366344301745,7.53704833984375,178.87949664416666,68.02901935577393,178.87980951007583,65.09231638908386,0.3537088455027325,0.4494757652282715,0.5169164206955614,0.38993096351623535,0.005932890003074734,144.9140031337738,0.00022707420148260216,143.20970940589905,11.680234845472818,148.2974603176117
simulated-logs/CallCenter_ServiceMiner\CallCenter_ServiceMiner_8.csv.gz,0.010452561288922243,472.7003207206726,175.89589332244086,9.818623781204224,177.7100351582591,6.427419424057007,178.55807642330646,67.04264569282532,178.55839052123002,65.20267391204834,0.3432016597476335,0.449143648147583,0.4969221036741968,0.4165220260620117,0.0073232532929952176,143.62673449516296,0.00033754121409301785,142.6280379295349,11.813482446931202,147.56611609458923
simulated-logs/CallCenter_ServiceMiner\CallCenter_ServiceMiner_9.csv.gz,0.008455286165564917,467.5841979980469,177.35595207903637,10.278347730636597,178.15642088264207,6.774138689041138,179.03981386720022,67.51817607879639,179.0401261186081,65.94970440864563,0.33902447424188975,0.479999303817749,0.5110247358040726,0.40608787536621094,0.003458514656606077,143.03825855255127,0.0003863314249378247,143.9953474998474,11.727531703851199,147.15504693984985
