name,bigram,bigram_runtime,cfld,cfld_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime
simulated-logs/BPIC_2017_ServiceMiner\BPIC_2017_ServiceMiner_0.csv.gz,0.01327804926205637,13.48041582107544,0.17740465452055607,172.18397688865662,2217.5171754293856,323.8478972911835,2219.846809484936,0.4632735252380371,2297.3597676303702,92.44029569625854,2306.884175924034,1.6936566829681396,2.724767016226549,0.21411943435668945,1.956076843803028,0.07399868965148926,160.41449786244655,14.4502272605896,160.47813202511017,4.856085300445557,118.99792383806033,4.078058481216431
simulated-logs/BPIC_2017_ServiceMiner\BPIC_2017_ServiceMiner_1.csv.gz,0.011878683673216338,14.10141921043396,0.17244278845348895,175.60244917869568,2253.4389859746493,354.3673973083496,2282.638458329066,0.4703528881072998,2368.0360713320724,101.41687273979187,2377.7711677939533,1.8479270935058594,2.5545769557260805,0.20405054092407227,1.8602756789300319,0.07103681564331055,151.7187898447461,15.010605096817017,161.61354752395934,5.16609001159668,119.35889944781643,4.342370271682739
simulated-logs/BPIC_2017_ServiceMiner\BPIC_2017_ServiceMiner_2.csv.gz,0.016769154063486787,14.936815023422241,0.1770554246576901,189.5302231311798,2169.119759243981,336.2453570365906,2235.99655312954,0.48105359077453613,2320.3049175898404,91.10493063926697,2329.8977260595357,1.6101727485656738,2.7065817955752975,0.20109796524047852,1.9097104787871253,0.06199765205383301,141.73078076951924,13.302708864212036,161.6248487314029,5.163520574569702,119.60727343155625,4.465147018432617
simulated-logs/BPIC_2017_ServiceMiner\BPIC_2017_ServiceMiner_3.csv.gz,0.016622850031729287,13.951493740081787,0.17647749612857846,168.58147764205933,2218.470139878497,325.9159450531006,2224.9844123689404,0.49529123306274414,2313.400567414212,90.90237140655518,2322.9727938102133,1.6209211349487305,2.994016682905971,0.20600104331970215,1.9166315902125115,0.06099867820739746,158.2666597914948,13.680229902267456,161.00056735554136,4.89726448059082,119.32163657518768,4.134324073791504
simulated-logs/BPIC_2017_ServiceMiner\BPIC_2017_ServiceMiner_4.csv.gz,0.00983254969891941,14.188177347183228,0.17648256507195273,166.37936305999756,2233.0515919147974,320.5564179420471,2246.2787013752927,0.4694492816925049,2327.0202647932992,92.84704613685608,2336.633091913194,1.6280877590179443,2.771493058152743,0.2000129222869873,1.8748627444233263,0.06206870079040527,155.71870546763668,14.375492095947266,160.78120997733694,4.936736345291138,119.2366772255942,4.108923673629761
simulated-logs/BPIC_2017_ServiceMiner\BPIC_2017_ServiceMiner_5.csv.gz,0.01366705088094846,14.158370971679688,0.17461436535820962,161.82241082191467,2239.5697704942622,297.09447503089905,2239.8653481229194,0.45294952392578125,2318.04539313699,85.40507698059082,2327.631465896934,1.7703661918640137,2.9063479945795145,0.19800209999084473,1.8835264754988712,0.05899953842163086,161.1781013275332,13.725675821304321,161.1863405107791,4.806613922119141,119.16445500337198,4.278973340988159
simulated-logs/BPIC_2017_ServiceMiner\BPIC_2017_ServiceMiner_6.csv.gz,0.01559166256359757,13.663399934768677,0.1734472398010005,162.17684888839722,2190.428391959799,303.0090708732605,2199.271280573203,0.45908045768737793,2280.6546879221833,86.39716219902039,2290.1292978752535,1.5907528400421143,2.6653958721922257,0.2756936550140381,1.9461239310873348,0.06100201606750488,160.6635884647116,13.683976411819458,160.9058290685303,4.935557842254639,119.17529511177307,4.059713363647461
simulated-logs/BPIC_2017_ServiceMiner\BPIC_2017_ServiceMiner_7.csv.gz,0.016478206642493123,14.010379076004028,0.17422261164206643,163.93989419937134,2259.5397416185406,321.1804234981537,2282.839356078735,0.456160306930542,2363.5140502566874,87.84361505508423,2373.2356664389395,1.59317946434021,2.665035354658232,0.20363879203796387,1.9159391161963164,0.059999704360961914,153.27682254556365,13.163707256317139,161.43738096391223,4.899094820022583,119.06364199524188,4.195237159729004
simulated-logs/BPIC_2017_ServiceMiner\BPIC_2017_ServiceMiner_8.csv.gz,0.012934047049343431,13.24158525466919,0.1728415586225693,234.8624885082245,2189.320773644341,302.6394820213318,2192.9289922662033,0.4550354480743408,2267.385706565793,85.62692308425903,2276.820761289888,1.7085413932800293,2.870628930063775,0.18999552726745605,1.878749373292864,0.05700349807739258,160.790763519088,14.624587297439575,160.89182792400402,4.8342695236206055,118.97488860770801,4.2015955448150635
simulated-logs/BPIC_2017_ServiceMiner\BPIC_2017_ServiceMiner_9.csv.gz,0.014629806583412962,13.370657444000244,0.1725125322268205,160.0506727695465,2278.3699467486686,306.4707372188568,2281.468106291238,0.4510021209716797,2356.268035666036,82.36344528198242,2365.9680512627874,1.6044065952301025,2.7708326571736572,0.19299936294555664,1.8494956009223285,0.06100058555603027,160.13834095852397,13.585824489593506,161.53077688471433,4.856952667236328,118.94182627708472,4.016502141952515
