,bigram,bigram_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime
mean,0.08149916920000001,432.28725351,48.133181546,3.5360277415,61.755633723,2.8475355386000003,61.67622638,28.825706769000004,61.67622638,27.201497101,18.170578398999996,0.4825897692999999,4.7229935293,0.4335466862,0.0984775959,70.85970294399999,0.0019579509000000003,70.894233249,8.178144812200001,73.833167672
conf,0.00037329633723553926,18.571595653839424,0.10820944800167656,0.6241533992954529,0.0772385441363298,0.31135735176416646,1.8512377714660065e-06,2.288503358475458,1.8512377714660065e-06,1.0457355105122252,0.03819309135703908,0.02464544698239643,0.0035288252365792906,0.02947612736230072,0.0006214373131742967,3.640272997731692,0.00013325456051489852,3.2522868711505173,0.08355088615531153,5.731740822426076
