name,bigram,bigram_runtime,cfld,cfld_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime
name,bigram,bigram_runtime,cfld,cfld_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime
simulated-logs\AcademicCredentials_ServiceMiner\AcademicCredentials_ServiceMiner_0.csv.gz,0.13059114407732075,0.7969834804534912,0.18398671749802403,5.602027416229248,606.135067114094,25.009512424468994,653.1065028399037,0.01800084114074707,675.5125628140704,4.319039583206177,675.5125628140704,0.09701156616210938,1.5060635694395947,0.18400144577026367,2.2466408543043697,0.010008096694946289,74.03355704697987,1.2059965133666992,74.49606476899916,0.2439894676208496,99.65577889447235,0.23183321952819824
simulated-logs\AcademicCredentials_ServiceMiner\AcademicCredentials_ServiceMiner_1.csv.gz,0.15656565656565657,0.737194299697876,0.18000215167300596,5.012992858886719,381.0654362416107,24.22753596305847,391.07739772549377,0.018999576568603516,408.8115577889447,4.3356852531433105,408.8115577889447,0.10099077224731445,1.7170235891129135,0.18800806999206543,2.4816853246008748,0.010996580123901367,61.39569351230425,1.0300366878509521,75.08030082668,0.2589874267578125,99.92713567839196,0.24001145362854004
simulated-logs\AcademicCredentials_ServiceMiner\AcademicCredentials_ServiceMiner_2.csv.gz,0.13977042538825118,0.7499995231628418,0.17793313609896524,4.640001535415649,366.1459731543624,18.615562438964844,396.28341639860736,0.018000364303588867,400.45477386934675,3.7590103149414062,400.45477386934675,0.09696650505065918,1.3889354539009748,0.1849985122680664,2.6476452580634353,0.010010242462158203,74.23517897091723,1.105010747909546,74.6525078131299,0.24203991889953613,99.7537688442211,0.2370002269744873
simulated-logs\AcademicCredentials_ServiceMiner\AcademicCredentials_ServiceMiner_3.csv.gz,0.14292279411764705,0.7969975471496582,0.17258505732123822,5.352477788925171,272.5934004474273,18.19539189338684,283.8141658315365,0.046988725662231445,285.5854271356784,3.524009943008423,285.5854271356784,0.09703445434570312,1.9393384472274882,0.1889958381652832,2.7292501790806325,0.014011621475219727,58.48406040268456,1.0459871292114258,75.07687183030157,0.24300050735473633,100.34422110552764,0.23201203346252441
simulated-logs\AcademicCredentials_ServiceMiner\AcademicCredentials_ServiceMiner_4.csv.gz,0.14388976733679693,0.7549903392791748,0.17595426628089944,4.781004428863525,394.6770134228188,22.744986057281494,424.95904495636785,0.018000125885009766,431.8643216080402,4.445099115371704,431.8643216080402,0.09900498390197754,1.446182454167416,0.18600249290466309,2.002218922611583,0.010011434555053711,74.5162192393736,1.1209993362426758,74.8441829293014,0.24400091171264648,99.08040201005024,0.2349996566772461
simulated-logs\AcademicCredentials_ServiceMiner\AcademicCredentials_ServiceMiner_5.csv.gz,0.145475372279496,0.7400028705596924,0.17185277034523266,4.867996454238892,105.50111856823266,17.441166877746582,108.64814827027018,0.01799798011779785,113.79396984924622,3.336987018585205,113.79396984924622,0.12601304054260254,1.7718908592879177,0.18600130081176758,3.0747183593435263,0.009996414184570312,68.54194630872483,1.2100026607513428,74.81853774052983,0.24200749397277832,99.70854271356784,0.23098969459533691
simulated-logs\AcademicCredentials_ServiceMiner\AcademicCredentials_ServiceMiner_6.csv.gz,0.1492638731596829,0.730013370513916,0.17614370554069048,4.814988374710083,135.84200223713646,18.469035387039185,147.3394193280771,0.018006086349487305,158.73115577889448,3.4819858074188232,158.73115577889448,0.09701204299926758,1.8867666821790818,0.18398785591125488,2.6190801886184665,0.010011672973632812,74.92197986577182,1.0773389339447021,75.16781807107765,0.24202632904052734,99.78391959798995,0.23004937171936035
simulated-logs\AcademicCredentials_ServiceMiner\AcademicCredentials_ServiceMiner_7.csv.gz,0.13611615245009073,0.7249999046325684,0.1766093273002821,4.556016683578491,329.26649888143174,20.59260845184326,346.5754058489344,0.018000125885009766,370.0678391959799,3.8390004634857178,370.0678391959799,0.0969996452331543,1.8324390212553119,0.20171022415161133,2.968597019090643,0.00998830795288086,75.18008948545861,1.1164467334747314,75.3593547627458,0.24298882484436035,100.25125628140702,0.23199748992919922
simulated-logs\AcademicCredentials_ServiceMiner\AcademicCredentials_ServiceMiner_8.csv.gz,0.15237876350264307,0.7268376350402832,0.19566191764684226,4.729002237319946,201.2192393736018,19.174009084701538,212.09139832423665,0.01800227165222168,224.73366834170855,3.747032403945923,224.73366834170855,0.09701228141784668,1.7212784139918218,0.18900418281555176,2.248083838601367,0.00999903678894043,57.47678970917226,1.1020121574401855,74.80357305636899,0.2410273551940918,100.56532663316582,0.23550701141357422
simulated-logs\AcademicCredentials_ServiceMiner\AcademicCredentials_ServiceMiner_9.csv.gz,0.126599634369287,0.7450008392333984,0.16310294256274155,4.740002393722534,198.38674496644296,20.698063135147095,200.48121030081495,0.018172502517700195,208.97236180904522,3.8428003787994385,208.97236180904525,0.0989999771118164,1.1145886950934716,0.18505215644836426,1.9973311911875704,0.010012149810791016,74.8694071588367,1.1279864311218262,74.89462987376157,0.24103951454162598,99.71859296482411,0.23198914527893066
